word,synonyms
ja,['oder']
de,['e']
één,['een']
goed,"['geschikt', 'bruikbaar', 'behoorlijk', 'correct', 'foutloos', 'juist', 'klasse', 'prima', 'mooi', 'ruim', 'akkoord']"
zelfstandig naamwoord,"['nomen', 'substantief', 'substantivum']"
bijvoeglijk naamwoord,"['adjectief', 'adjectivum']"
januari,['louwmaand']
februari,['sprokkelmaand']
maart,['maarte']
april,['lentemaand']
mei,['bloeimaand']
juni,['zomermaand']
juli,['hooimaand']
augustus,['oogstmaand']
september,['herfstmaand']
oktober,['wijnmaand']
november,['slachtmaand']
december,['wintermaand']
seconde,['boogseconde']
minuut,['boogminuut']
paus,['lodan']
kwartier,['legering']
lul,"['fluit', 'jongeheer', 'leuter', 'lid', 'mannelijkheid', 'penis', 'piel', 'piemel', 'pik', 'plasser', 'potlood']"
etymologie,"['woordherkomst', 'woordafleiding']"
Gerard,['golf']
Sardisch,['Sardijns']
Spaans,['Kastiliaans']
synoniem,['evenwoord']
taal,['spraok']
Slowaaks,['Slovaaks']
Estisch,"['Estlands', 'Ests']"
palindroom,"['keerwoord', 'spiegelwoord']"
weed,['wede']
Armeens,['Armenies']
bevestigen,"['affirmeren', 'beamen']"
Heer,"['Here', 'Statenvertaling']"
U,['Puman']
mijn,"['auctie', 'veiling', 'vendu', 'vendutie', 'verkoping']"
Farsi,['Perzisch']
ochtend,['morgen']
groot,['groots']
grootje,"['oma', 'grootmoeder']"
voer,"['foerage', 'kost', 'voeder']"
man,['mens']
voor,['eerder']
Bretons,['Bretoens']
Afrikaans,"['Keukennederlands', 'Kombuistaaltje']"
Wit-Russisch,['Belarussisch']
Nepali,['Nepalees']
pilaarheilige,['styliet']
latino,['hispanics']
Thai,['Thailander']
Azeri,['Azerbeidzjaans']
auto,['automobiel']
Amhaars,['Amharisch']
Amharisch,['Amhaars']
chinois,"['Chinese', 'puntzeef']"
Somalisch,['Somali']
Somali,['Somalisch']
Wotisch,['Votisch']
Cornisch,['Cornish']
lidwoord,['artikel']
discrepantie,['verschil']
Birmaans,['Birmees']
komen,['klaarkomen']
geven,"['schenken', 'doneren']"
Ests,"['Estlands', 'Estisch']"
Asturisch,"['Asturianisch', 'Asturleonesisch', 'Asturischleonesisch']"
Japannees,['Japanner']
Kazachs,['Kazaks']
kazak,['kazakke']
kerk,"['geestelijkheid', 'clerus']"
kuit,['viskuit']
antoniem,['tegengestelde']
tegengestelde,['antoniem']
paling,"['aal', 'meeraal']"
appel,['bijeenroeping']
ruiken,['rieken']
homofoon,"['monodisch', 'monotoon']"
luisteren,['toehoren']
lamsoor,"['zeeaster', 'zulte']"
zeeaster,"['lamsoor', 'zulte']"
hielenlikker,['slijmbal']
hiel,['hak']
enkel,['alleen']
been,['poot']
India,['Izaak']
Tataars,['Tartaars']
scheenbeen,['tibia']
kuitbeen,['fibula']
puik,"['uitstekend', 'uitmuntend']"
borst,['berstte']
buik,['abdomen']
ruggengraat,['wervelkolom']
wervelkolom,['ruggengraat']
rug,['achterkant']
bovenarm,['opperarm']
arm,['tak']
stuitbeen,"['stuit', 'staartbeen']"
pols,"['carpus', 'polsgewricht']"
onderarm,['voorarm']
voorarm,['onderarm']
muis,['computermuis']
palm,['palmboom']
Welsh,['Kymrisch']
machete,['kapmes']
Zulu,"['Zaandam', 'Zacharias']"
fietsenstalling,['rijwielstalling']
land,['grond']
fiets,"['rijwiel', 'tweewieler']"
adamsappel,['strot']
mond,['monding']
tand,['gebit']
tong,['verhemelte']
keel,['strot']
morgen,['ochtend']
chemie,['scheikunde']
computer,"['rekentuig', 'taluw']"
informaticus,['computerwetenschapper']
Sardijns,['Sardisch']
mars,['voettocht']
telwoord,['numerale']
papa,"['pa', 'pap', 'pappa', 'pappie', 'paps']"
kleur,['Farv']
Belau,['Palau']
August,"['Erntemonat', 'Erntemond', 'Ernting', 'Sichelmonat']"
naamval,['casus']
eerste naamval,['nominatief']
grammatica,"['spraakkunst', 'spraakleer']"
spraakkunst,"['spraakleer', 'grammatica']"
fluit,['fluitschip']
dag,['licht']
bijwoord,['adverbium']
adverbium,['bijwoord']
artikel,['lidwoord']
gissen,"['schatten', 'raden']"
voorzetsel,['prepositie']
zwijnen,"['mazzel', 'hebben']"
chiffre,"['logo', 'monogram', 'naambeeld']"
tussenwerpsel,['interjectie']
voegwoord,['conjunctie']
natuurkunde,['fysica']
stem,"['orgelregister', 'register']"
violoncello,['cello']
chic,"['elegant', 'flott', 'moteriktig', 'stilig']"
chirurgie,['heelkunde']
chocolade,['chocola']
Papiamento,['Papiaments']
collega,['medewerker']
coma,['bewusteloosheid']
commentaar,"['berichtgeving', 'uiteenzetting', 'verklaring']"
commercieel,['zakelijk']
aai,"['baffer', 'dreun', 'hengst', 'houw', 'klap', 'knal', 'lel', 'mep', 'opdoffer', 'opdonder', 'opduvel', 'oplawaai', 'oplazer', 'opsodemieter', 'opstopper', 'optater', 'peut', 'poeier', 'ram', 'slag', 'stomp', 'watjekouw']"
competitie,"['wedstrijd', 'rivaliteit', 'wedijver', 'concurrentie']"
moratorium,['surseance']
commissie,"['courtage', 'provisie']"
compensatie,"['vergoeding', 'tenietdoening']"
concert,"['muziekuitvoering', 'optreden']"
concurrent,"['mededinger', 'rivaal']"
compleet,"['afgerond', 'geheel', 'totaal', 'helemaal', 'totaal', 'volkomen', 'volslagen', 'volstrekt']"
componist,"['toondichter', 'toonzetter', 'toonkunstenaar']"
compositie,"['toonzetting', 'toondicht']"
consensus,['eenparigheid']
mare,['maar']
conclusie,"['gevolgtrekking', 'slotsom']"
conflict,"['ruzie', 'strijd', 'oorlog']"
contant,"['baar', 'cash']"
controle,"['opzicht', 'supervisie', 'toezicht', 'verificatie', 'check']"
controleur,['inspecteur']
chocolademelk,"['cacaomelk', 'chocomel']"
zeug,['moederzwijn']
beer,"['drek', 'poep', 'stront']"
suiker,['koolhydraat']
corrupt,"['omkoopbaar', 'kreukbaar']"
violoncellist,['cellist']
cellist,['violoncellist']
chirurg,['heelkundige']
heelkundige,['chirurg']
Friulaans,['Friulisch']
centrifuge,['droogzwierder']
centrifugaal,['middelpuntvliedend']
cementmolen,['betonmolen']
castreren,['lubben']
opus,"['kunstvoorwerp', 'stuk']"
capituleren,['zwichten']
creëren,['scheppen']
creatie,['schepping']
creatief,"['fantasierijk', 'fantasievol']"
