id	rating	item_bought	review	pros	cons	upvotes	downvotes
23415273	5	1	сервіс відмінний, морозильна камера працює добре.			0	0
33284346	5	1	гарна та якісна морозильна камера. при першому запуску нагрілись бокові стінки камери, але на протязі дня вистигла . а так камера працює добре, тихенька, якісні матеріали. в подарунок отримали чайник. дрібничка але приємно. якість чайника звичайний дешевий, але працюю.	недорогий	нема	0	0
33040878	4	1	камеру привезли, все працює, все добре, все як на фото, але... як цікаво придумано. пишуть електрочайник в подарунок, привезли й чайник, а в чеку написано, що придбали два товари: морозильна камера; електрочайник. точно по ціні не пам'ятаю але камера виходить дешевше. виходить нам впарюють чайник за гроші, ми цього не знаючи отримуємо як подарунок. отак то		немає	2	0
38902893	5	1	справляється із своєю роботою	ціна якість		0	0
20357268	5	1	користуюсь міс., дуже задоволений!	все чудово працює, тихий.	поки не виявлено.	0	0
22401497	5	1	якістю продажу оформлення та доставки товару задоволені	про недоліки і переваги говорити рано, камера працює менше місяця.	поки відсутні.	0	0
2566880	5	0	задоволений морозильником повністю. користуюсь уже приблизно роки.	є індикатори роботи якісна пласмаса в ящиках ще ніду не тріснув незважаючи на великий обєм погрузки	не виявив.	2	2
8757565	4	1	нормальна морозилка. включилася, працює. правда як на мене трохи забагато шуму.	морозить. все ніби добре. робить те для чого її брали.	трохи гудить.	0	0
8520910	4	1	хороша морозильна камера, користуюсь тижні, поки все влаштовує	працює тихо, морозить швидко, все влаштовує	не побачила	0	0
9687302	5	1	морозильну камеру купував для батьків, стоїть працює, батьки задоволені.	швидко заморожує, зручні ящики.	невиявив	0	0
9600289	4	1	придбала дану морозильну камеру у червні місяці року, станом на . . року немає жодних скарг. працює якісно і тихо, дуже містка. вписалася в інтер'єр. претензій немає. не шкодую, що придбала.			0	0
9030606	4	1	відповідає уритерію ціна якість	компактний	не замітив	0	0
11192134	5	1	чудова морозильна камера, купили пів року назад, працює на відмінно. швидко заморожує продукти, добре зберігаються, не перемерзають.			0	0
10921228	4	0	купила в травні р. наморозила багато ягід, фруктів, овочів. рекомендую	працює тихо, сторонніх звуків не видає.	поки зауважень нема.	0	0
17445816	5	0	працюе добре! не шумить. з вигляду дуже проста. надiюсь, що за стiльки часу як вона у нас е, якiсть теперiшнiх морозильних камер не змiнилась. тому рекомендую.	просто хороша морозильная камера.	за рокiв використання а може вже й непам'ятаю точно недолiкiв не знайшлося.	0	0
