Dougie Poynter
Toby Hemingway
Joe Cocker
David Gahan
Cliff Richard
Ian Gillan
Mitch Hewer
Prince Andrew
Robert Palmer
Lisa Stansfield
Nick Kamen
Siouxsie Sioux
Sid Vicious
Jamie Draven
Simon Le Bon
Peter Frampton
Keith Moon
John Deacon
Joe Elliott
Liam Gallagher
Justin Hayward
Mark Ronson
Thom Yorke
Pete Doherty
Sam Mendes
Peter Gabriel
Rufus Taylor
Miles Kane
Liam Hess
Keith Flint
Dominic Howard
Phil Lewis
Phil Collen
Sara Gilmour
Stephen Clark
Simon Woods
John Waite
Elliot Cowan
Richard Ashcroft
Fiona Phillips
Jamiroquai
Lucy Bayliss
Tom Ducker
Penny Smith
Alan Wilder
Rik Mayall
Paul Nicholls
Stan Laurel
Rick Allen
Maureen Starkey
June Child
Fern Britton
Davy Jones
Charlie Watts
Tony Robinson
Robert Smith
Rex Harrison
Adam Faith
Adam Clayton
Sophie Anderton
John Cleese
Jarvis Cocker
Jack Davenport
Alex Cowper-Smith
Geraldine Edwards
Felix Taylor
James Cassells
Nick O'Malley
Peter Gadiot
Anne Seedwell
James Norton
Steven Webb
Chris Wolstenholme
Jamie Robert Cook
Allan Clarke
Jon Moss
Dave Mason
Tony Hicks
Skream
Rebecca Walters
Serge Pizzorno
Nick Grimshaw
Matthew Peacock (I)
Clare Torry
Mickey Finn
Mick Jones
Jennifer Clarke
Bruce Parry
Robert James-Collier
Michael Fielding
Simon Kassianides
Susannah Constantine
Kate Silverton
Hepzibah Sessa
Blake Ritson
Carla Mendonça
Adam Croasdell
Daniel Casey
Jill Browne
Peter Asher
Russell Tovey
Peter Green
Orlando Weeks
Graham Coxon
Andrew Knott
Louise Watson
Scott Neal
Escala
William Ash
Rupert Holmes
Roy Wood
Ol Parker
Max Benitz
June Chadwick
Joe Anderson
Jody Latham
Ian Brown
Emma Cleasby
Cliff Williams
Bonnie Langford
Adam Campbell
Steve Jones
Lewis Carroll
Jane Austen
Bill Bailey
Harry Eden
Wendy Richard
Debbie Boyland
Eva Le Gallienne
Brian Eno
Andrew Flintoff
Penelope Wilton
Cathryn Harrison
Barbara Kellerman
Annette Badland
Anna Chancellor
Rupert Graves
Julian Sands
John Simm
John Moulder-Brown
Callum Keith Rennie
Arthur Bostrom
Jean Kent
Fenella Fielding
Michael Angelis
Peter Firth
Sarah Parish
Sandy Denny
Patrick Macnee
Michelle Holmes
Matt Grant
Laurence Harvey
Juliet Mills
Jeff Hordley
Herbert Marshall
David Williams
Dave Davies
Curt Smith
Benita Hume
Andrew Fletcher
Alasdhair Willis
Thomas Starr
Susan Hunt
Peter Finch
Peter Davison
Michael York
Jane Horrocks
James Mason
James Fox
Dirk Bogarde
Richard Coyle
Jamie Bamber
Hugh Bonneville
Ridley Scott
Michael Wilding
Jed Elliott
Nikolai Von Bismarck
Holly Goodchild
Jools Coombes
Ann Beggs
Chloe Delevingne
Jason Gardner
Camilla Boler
Kate Emma Rotschild
Donna Holton
Tony Discipline
Terry Sylvester
Rosemarie Hillcrest
Margarita Armstrong-Jones
Lady Louise Windsor
Phil Seed
Rob Damiani
James Conran
Terry Coldwell
