Dougie Poynter
Toby Hemingway
Joe Cocker
David Gahan
Cliff Richard
Ian Gillan
Mitch Hewer
Prince Andrew
Robert Palmer
Lisa Stansfield
Nick Kamen
Siouxsie Sioux
Sid Vicious
Jamie Draven
Simon Le Bon
Peter Frampton
Keith Moon
John Deacon
Joe Elliott
Liam Gallagher
Justin Hayward
Mark Ronson
Thom Yorke
Pete Doherty
Sam Mendes
Peter Gabriel
Rufus Taylor
Miles Kane
Liam Hess
Keith Flint
Phil Lewis
Phil Collen
Sara Gilmour
Simon Woods
John Waite
Elliot Cowan
Richard Ashcroft
Lucy Bayliss
Tom Ducker
Alan Wilder
Rik Mayall
Paul Nicholls
Stan Laurel
Rick Allen
Maureen Starkey
June Child
Fern Britton
Charlie Watts
Robert Smith
Adam Faith
Adam Clayton
Sophie Anderton
John Cleese
Jarvis Cocker
Jack Davenport
Geraldine Edwards
James Cassells
Nick O'Malley
Peter Gadiot
Anne Seedwell
James Norton
Steven Webb
Chris Wolstenholme
Jon Moss
Tony Hicks
Rebecca Walters
Serge Pizzorno
Nick Grimshaw
Matthew Peacock
Clare Torry
Mickey Finn
Bruce Parry
Robert James-Collier
Michael Fielding
Simon Kassianides
Susannah Constantine
Kate Silverton
Hepzibah Sessa
Blake Ritson
Adam Croasdell
Daniel Casey
Peter Asher
Russell Tovey
Peter Green
Orlando Weeks
Graham Coxon
Andrew Knott
Scott Neal
William Ash
Rupert Holmes
Roy Wood
Ol Parker
Max Benitz
June Chadwick
Joe Anderson
Jody Latham
Emma Cleasby
Bonnie Langford
Adam Campbell
Lewis Carroll
Jane Austen
Bill Bailey
Harry Eden
Wendy Richard
Debbie Boyland
Eva Le Gallienne
Brian Eno
Andrew Flintoff
Penelope Wilton
Barbara Kellerman
Annette Badland
Anna Chancellor
Rupert Graves
Julian Sands
John Simm
Callum Keith Rennie
Arthur Bostrom
Jean Kent
Fenella Fielding
Michael Angelis
Peter Firth
Sarah Parish
Sandy Denny
Patrick Macnee
Michelle Holmes
Matt Grant
Laurence Harvey
Juliet Mills
Jeff Hordley
Herbert Marshall
Benita Hume
Andrew Fletcher
Alasdhair Willis
Thomas Starr
Susan Hunt
Peter Finch
Peter Davison
Michael York
Jane Horrocks
James Fox
Dirk Bogarde
Richard Coyle
Jamie Bamber
Hugh Bonneville
Ridley Scott
Michael Wilding
Jed Elliott
Holly Goodchild
Jools Coombes
Ann Beggs
Chloe Delevingne
Jason Gardner
Camilla Boler
Kate Emma Rotschild
Donna Holton
Tony Discipline
Terry Sylvester
Rosemarie Hillcrest
Lady Louise Windsor
Phil Seed
Rob Damiani
James Conran
Terry Coldwell
Catherine Ashley Ommanney
Rachel Byrd
Willie Harcourt-Cooze
Jesse Quin
Tim Rice-Oxley
John Hendy
Simon Gallup
Mick Cripps
Rosemary Pearson
Unity Mitford
Monie Love
Grace Chatto
Aminta Townshend
Jane Lumb
Duncan Blue
Ben Foden
Gabriella Windsor
Ryan Jarman
Chelita Secunda
Freddie Stevenson
Susan Murray
Clint Mansell
Anthony Richardson
Lauren Alcorn
Adrianne Allen
Mick Ralphs
Gibson Kemp
Caroline Coon
